2,200,150,1
5,200,150,1
8,200,150,1
11,200,150,1
22,200,150,1
25,200,150,1
10,200,150,1
11,200,150,1
12,200,150,1
17,200,150,1
21,100,100,100
1,200,150,1
7,100,100,100
10,200,150,1
16,200,150,1
22,200,150,1
23,200,150,1
25,200,150,1
7,100,100,100
0,100,100,100
1,200,150,1
2,200,150,1
3,200,150,1
4,200,150,1
5,200,150,1
6,200,150,1
7,100,100,100
8,200,150,1
9,200,150,1
10,200,150,1
11,200,150,1
12,200,150,1
13,200,150,1
14,100,100,100
15,200,150,1
16,200,150,1
17,200,150,1
18,200,150,1
19,200,150,1
20,200,150,1
21,100,100,100
22,200,150,1
23,200,150,1
24,200,150,1
25,200,150,1
7,100,100,100
19,200,150,1
25,200,150,1
25,200,150,1
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
1,200,150,1
2,200,150,1
2,200,150,1
2,200,150,1
2,200,150,1
2,200,150,1
0,100,100,100
0,100,100,100
1,200,150,1
0,100,100,100
1,200,150,1
1,200,150,1
6,200,150,1
8,200,150,1
12,200,150,1
13,200,150,1
17,200,150,1
20,200,150,1
22,200,150,1
23,200,150,1
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
1,200,150,1
2,200,150,1
3,200,150,1
5,200,150,1
3,200,150,1
4,200,150,1
4,200,150,1
8,200,150,1
9,200,150,1
16,200,150,1
19,200,150,1
20,200,150,1
23,200,150,1
26,200,150,1
0,100,100,100
0,100,100,100
1,200,150,1
0,100,100,100
3,200,150,1
9,200,150,1
11,200,150,1
13,200,150,1
16,200,150,1
